date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:20:20	23126/23126	---M--	200	added ('OK')	image/jpeg	etag:%2214d8070e-5a56-596f450b85e80%22	http://yp.jyc.co.in/images/our-team/1.jpg	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/our-team/1.jpg	(from http://yp.jyc.co.in/)
17:20:26	34987/34987	---M--	200	added ('OK')	image/jpeg	etag:%2214d80823-88ab-596f450d6e300%22	http://yp.jyc.co.in/images/our-team/14.jpg	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/our-team/14.jpg	(from http://yp.jyc.co.in/)
17:20:26	33328/33328	---M--	200	added ('OK')	image/jpeg	etag:%2214d8081f-8230-596f450d6e300%22	http://yp.jyc.co.in/images/our-team/12.jpg	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/our-team/12.jpg	(from http://yp.jyc.co.in/)
17:20:27	45386/45386	---M--	200	added ('OK')	image/jpeg	etag:%2214d80865-b14a-596f451327080%22	http://yp.jyc.co.in/images/our-team/8.jpg	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/our-team/8.jpg	(from http://yp.jyc.co.in/)
17:20:32	34952/34952	---M--	200	added ('OK')	image/jpeg	etag:%2214d80853-8888-596f45113ec00%22	http://yp.jyc.co.in/images/our-team/4.jpg	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/our-team/4.jpg	(from http://yp.jyc.co.in/)
17:20:33	36206/36206	---M--	200	added ('OK')	image/jpeg	etag:%2214d8083d-8d6e-596f450f56780%22	http://yp.jyc.co.in/images/our-team/20.jpg	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/our-team/20.jpg	(from http://yp.jyc.co.in/)
17:20:33	46732/46732	---M--	200	added ('OK')	image/jpeg	etag:%2214d80829-b68c-596f450d6e300%22	http://yp.jyc.co.in/images/our-team/17.jpg	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/our-team/17.jpg	(from http://yp.jyc.co.in/)
17:20:35	17798/17798	---M--	200	added ('OK')	image/jpeg	etag:%2214d80821-4586-596f450d6e300%22	http://yp.jyc.co.in/images/our-team/13.jpg	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/our-team/13.jpg	(from http://yp.jyc.co.in/)
17:20:40	40942/40942	---M--	200	added ('OK')	image/jpeg	etag:%2214d8083f-9fee-596f450f56780%22	http://yp.jyc.co.in/images/our-team/21.jpg	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/our-team/21.jpg	(from http://yp.jyc.co.in/)
17:20:40	23390/23390	---M--	200	added ('OK')	image/jpeg	etag:%2214d8082f-5b5e-596f450f56780%22	http://yp.jyc.co.in/images/our-team/18.jpg	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/our-team/18.jpg	(from http://yp.jyc.co.in/)
17:20:42	623729/623729	---M--	200	added ('OK')	image/png	etag:%2214d806f1-98471-596f45150f500%22	http://yp.jyc.co.in/images/ico/10001.png	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/ico/10001.png	(from http://yp.jyc.co.in/)
17:20:45	24823/24823	---M--	200	added ('OK')	image/jpeg	etag:%2214d80817-60f7-596f450b85e80%22	http://yp.jyc.co.in/images/our-team/10.jpg	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/our-team/10.jpg	(from http://yp.jyc.co.in/)
17:20:45	76869/76869	---M--	200	added ('OK')	image/jpeg	etag:%2214d804ee-12c45-59753d967a779%22	http://yp.jyc.co.in/images/our-team/26.jpeg	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/our-team/26.jpg	(from http://yp.jyc.co.in/)
17:20:46	38496/38496	---M--	200	added ('OK')	image/jpeg	etag:%2214d80861-9660-596f45113ec00%22	http://yp.jyc.co.in/images/our-team/7.jpg	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/our-team/7.jpg	(from http://yp.jyc.co.in/)
17:20:47	25991/25991	---M--	200	added ('OK')	image/jpeg	etag:%2214d806e2-6587-596f45150f500%22	http://yp.jyc.co.in/images/about-us/1.jpg	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/about-us/1.jpg	(from http://yp.jyc.co.in/)
17:20:48	13357/13357	---M--	200	added ('OK')	image/jpeg	etag:%2214d806e3-342d-596f4516f7980%22	http://yp.jyc.co.in/images/about-us/2.jpg	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/about-us/2.jpg	(from http://yp.jyc.co.in/)
17:20:52	34439/34439	---M--	200	added ('OK')	application/pdf	etag:%2214d8037c-8687-597a5ca4276fe%22	http://yp.jyc.co.in/downloads/Seat%20Matrix.pdf	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/downloads/Seat%20Matrix.pdf	(from http://yp.jyc.co.in/)
17:20:53	41545/41545	---M--	200	added ('OK')	image/jpeg	etag:%2214d80390-a249-597346105113a%22	http://yp.jyc.co.in/images/about-us/4.jpg	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/about-us/4.jpg	(from http://yp.jyc.co.in/)
17:20:53	10540/10540	---M--	200	added ('OK')	image/jpeg	etag:%2214d806ea-292c-596f4518dfe00%22	http://yp.jyc.co.in/images/about-us/6.jpg	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/about-us/6.jpg	(from http://yp.jyc.co.in/)
17:21:23	180710/180710	---M--	200	added ('OK')	application/pdf	etag:%2214d81028-2c1e6-597eb568422e4%22	http://yp.jyc.co.in/downloads/ITINERARY%20JYP.pdf	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/downloads/ITINERARY%20JYP.pdf	(from http://yp.jyc.co.in/)
17:21:24	746/746	---M-Z	404	error ('Not%20Found')	text/html	etag:%22124174e-2ea-58d3a49cb9e6b;596ffc5dd6100-gzip%22	http://yp.jyc.co.in/fonts/glyphicons-halflings-regular.eot	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/fonts/glyphicons-halflings-regular.3b.delayed	(from http://yp.jyc.co.in/css/bootstrap.min.css)
17:21:24	746/746	---M-Z	404	error ('Not%20Found')	text/html	etag:%22124174e-2ea-58d3a49cb9e6b;596ffc5dd6100-gzip%22	http://yp.jyc.co.in/fonts/glyphicons-halflings-regular.eot?	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/fonts/glyphicons-halflings-regular.3cd41d.delayed	(from http://yp.jyc.co.in/css/bootstrap.min.css)
17:21:29	23292/23292	---M--	200	added ('OK')	font/woff	etag:%2214d806d9-5afc-596f44b5b1400%22	http://yp.jyc.co.in/fonts/glyphicons-halflings-regular.woff	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/fonts/glyphicons-halflings-regular.woff	(from http://yp.jyc.co.in/css/bootstrap.min.css)
17:21:29	746/746	---M-Z	404	error ('Not%20Found')	text/html	etag:%22124174e-2ea-58d3a49cb9e6b;596ffc5dd6100-gzip%22	http://yp.jyc.co.in/fonts/glyphicons-halflings-regular.ttf	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/fonts/glyphicons-halflings-regular.3e.delayed	(from http://yp.jyc.co.in/css/bootstrap.min.css)
17:21:35	62850/62850	---M--	200	added ('OK')	image/svg+xml	etag:%2214d806d8-f582-596f44b3c8f80%22	http://yp.jyc.co.in/fonts/glyphicons-halflings-regular.svg	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/fonts/glyphicons-halflings-regular.svg	(from http://yp.jyc.co.in/css/bootstrap.min.css)
17:21:37	6682/6682	---M--	200	added ('OK')	image/png	etag:%2214d80907-1a1a-596f45394ca80%22	http://yp.jyc.co.in/images/prettyPhoto/default/sprite.png	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/default/sprite.png	(from http://yp.jyc.co.in/css/prettyPhoto.css)
17:21:37	1097/1097	---M--	200	added ('OK')	image/png	etag:%2214d80968-449-596f453b34f00%22	http://yp.jyc.co.in/images/prettyPhoto/default/sprite_x.png	F:/My%20Web%20Sites/Resume/yp.jyc.co.in/images/prettyPhoto/default/sprite_x.png	(from http://yp.jyc.co.in/css/prettyPhoto.css)
